OBJECTID,ISLAND,REGION,PROVINCE,DEO,CONG_DIST,ROAD_NAME,ROAD_SEC_CLASS,SECTION_ID,SEC_LENGTH,ROUTE_NO,LOCATION,BRIDGE_ID,BR_NAME,BR_LENGTH,BR_TYPE1,BR_TYPE2,YR_CONST,ACTUAL_YR,CONDITION,NUM_ABUTT,NUM_PIER,MaxBRHT,MaxPierHT,NUM_SPAN,BR_WIDTH,BR_LIFE,LOAD_LIMIT,HT_OVER,HT_UNDER,L_SDWALK,R_SDWALK,NUM_LANES,BNR,CROSSING,BRGY,MUNICIPAL,RECOMMEND,REMARKS,created_user,created_date,last_edited_user,last_edited_date
11,Luzon,National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF LAS PI,Quirino Avenue,Primary,S03225LZ,3298,62,1517,B01814LZ,Pulang Lupa Br.,20,Concrete,permanent,Year Known,1942,Fair,2,0,3.2,0,1,8.5,40,0,0,0,1,1,2,0.169811,Estuary (Salt Water),Pulang Lupa I,Las Piñas,"RM - Bridge Deck Sweep, Clean",no defects,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
12,Luzon,Cordillera Administrative Region,Abra,Abra District Engineering Office,ABRA (LONE DISTRICT),Abra-Ilocos Sur Rd,Secondary,S00584LZ,22296,204,14198,B02225LZ,Bancag Br.,46,Steel,permanent,Year Known,2009,Good,2,0,9.3,0,1,9.54,40,20,0,9,0.8,0.8,2,0.012579,River/Waterway (fresh water),Bancag,Pidigan,Routine Maintenance - Other,Condition is Good.,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
13,Luzon,National Capital Region,Metro Manila,Quezon City 1st District Engineering Office,QUEZON CITY (FIFTH DISTRICT),Fairview Ave,Secondary,S05456LZ,4506,170,1427,B02350LZ,Ilang-Ilang Br. (SB),17,Concrete,permanent,Year Known,1975,Good,2,0,6.4,0,1,15.89,0,0,0,5.2,1.5,0,4,0.012579,River/Waterway (fresh water),BRGY. NORTH FAIRVIEW,QUEZON CITY,RM - Bridge Component Painting,Retrofitted last 2015.,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
14,Luzon,National Capital Region,Metro Manila,Metro Manila 1st District Engineering Office,SAN JUAN CITY & CITY OF MANDALUYONG (LONE DISTRICTS),P Guevarra-J Vargas St,Tertiary,S03960LZ,2167,0,148,B02796LZ,J. Vargas Br.,7,Concrete,permanent,Year Known,1992,Fair,2,0,15,0,1,6,30,15,0,0,0,0,2,0.194969,Canal,Brgy. Bagong Silang,Mandaluyong City,"RM - Bridge Deck Sweep, Clean","corroded railings need repair and painting, deck cleaning and sweeping",GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
15,Luzon,Cordillera Administrative Region,Ifugao,Ifugao 2nd District Engineering Office,IFUGAO (LONE DISTRICT),Banaue-Mayoyao-A Lista-Isabela Bdry Rd,Secondary,S00480LZ,90970,224,80375,B02212LZ,Potia Br.,62,Steel,permanent,Year Known,1998,Fair,2,1,11.2,9.6,2,9.28,21,15,0,0,0.95,0.95,2,0.137931,Not Specified,     POTIA,     ALFONSO LISTA,RM - Bridge Component Painting,Asphalt Overlay were undertaken funded under GAA FY 2017. Replace missing lateral supports.,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
16,Luzon,Cordillera Administrative Region,Mt.Province,Mountain Province 2nd District Engineering Office,MOUNTAIN PROVINCE (LONE DISTRICT),Jct Talubin-Barlig-Natonin-Paracelis-Calaccad Rd,Tertiary,S03997LZ,78317,0,37155,B04609LZ,Lunas Br.,15,Concrete,permanent,Year Known,2015,Good,2,0,6.6,0,1,9.6,50,15,0,0,1.1,1.1,2,0,River/Waterway (fresh water),Lunas,Barlig,"RM - Bridge Deck Sweep, Clean",New Constructed Bridge,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
17,Luzon,Cordillera Administrative Region,Apayao,Apayao 2nd District Engineering Office,APAYAO (LONE DISTRICT),Kabugao-Pudtol-Luna-Cagayan Bdry Rd,Secondary,S00628LZ,38931,223,30271,B02255LZ,Bangsil Br.,9,Concrete,permanent,Year Known,1999,Good,2,0,5.5,0,1,8.69,0,18,0,0,0.52,0.5,2,0.037736,River/Waterway (fresh water),Dagupan,Luna,"RM - Bridge Deck Sweep, Clean",clean side of the bridge,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
18,Luzon,National Capital Region,Metro Manila,North Manila District Engineering Office,MANILA CITY (FIRST & THIRD DISTRICT),Juan Luna St,Tertiary,S02304LZ,4640,0,4626,B01741LZ,Juan Luna Br. 3,16,Concrete,permanent,Year Known,1968,Fair,2,0,0,0,1,15,20,15,0,0,1.2,1.2,4,0.207547,Canal,184 Zone 16,Manila,Major Maint - Repair Damage,Damaged railings both sides due to sheet piling project,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
19,Luzon,National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,NAVOTAS CITY (LONE DISTRICT),R-10,Secondary,S02196LZ,2270,120,1892,B01746LZ,R-10 Br. 2,107,Concrete,permanent,Year Known,1993,Fair,2,4,5.55,3.03,5,17.1,22,15,3,3.03,1,1,4,0.269841,Sea (Exposed),Brgy. Bagumbayan South,Navotas City,Routine Maintenance - Other,For Strenghtening and Retroffiting of Coping Pier and Column Pier,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
20,Luzon,Cordillera Administrative Region,Benguet,Benguet 2nd District Engineering Office,BENGUET (LONE DISTRICT),Gov. Bado  Dangwa National Rd,Tertiary,S00398LZ,13525,0,3190,B04228LZ,Suyoc Br.,52,Steel,permanent,Year Known,2012,Fair,2,0,8.3,0,1,9.48,39,20,0,0,9.73,9.74,2,0.132075,River/Waterway (fresh water),CAPONGA,TUBLAY,Routine Maintenance - Other,Scaling was observed and needs sealant at expansion joint.,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
21,Luzon,Cordillera Administrative Region,Kalinga,Lower Kalinga District Engineering Office,KALINGA (LONE DISTRICT),Balbalan-Pinukpuk Rd,Tertiary,S00537LZ,28520,0,9998,B04394LZ,Batacan Br.,18,Concrete,permanent,Year Known,2013,Good,2,0,5.7,0,1,9,18,20,0,0,1.1,1.1,2,0,River/Waterway (fresh water),APATAN,PINUKPUK,"RM - Bridge Deck Sweep, Clean",Preventive maintenance to prevent deterioration of bridge components,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
22,Luzon,Cordillera Administrative Region,Apayao,Apayao 1st District Engineering Office,APAYAO (LONE DISTRICT),Conner-Kabugao Rd,Secondary,S00618LZ,15585,222,13657,B02253LZ,Tammang Br.,105,Concrete,permanent,Year Known,2007,Fair,2,4,10,2.5,5,9.4,10,15,0,0,0.7,0.65,2,0.063218,River/Waterway (fresh water),Luttuacan,Conner,"RM - Bridge Deck Sweep, Clean",Seal cracks with pressurized epoxy,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
23,Luzon,National Capital Region,Metro Manila,Metro Manila 3rd District Engineering Office,CALOOCAN CITY (FIRST DISTRICT),Novaliches-Sn Jose Rd,Tertiary,S02117LZ,4640,0,4597,B05050LZ,Alat Parallel Br.,37,Concrete,permanent,Year Known,2014,Good,2,1,8.4,6.2,2,9.54,40,15,0,0,1.11,1.11,2,0.057471,River/Waterway (fresh water),185,Caloocan City,"RM - Bridge Deck Sweep, Clean",The bridge is in Good Condition,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
24,Luzon,National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,CITY OF MUNTINLUPA (LONE DISTRICT),South Super H-way East Service Rd,Tertiary,S03296LZ,4604,0,1637,B01812LZ,Upper Buli Br. (East),26,Concrete,permanent,Year Known,1972,Fair,2,2,5.63,5,3,6.96,39,10,0,0,1.2,0,2,0.151515,River/Waterway (fresh water),Buli,Muntinlupa,"RM - Bridge Deck Sweep, Clean",the bridge is ongoing retrofitting under GAA2019. It is also included in funded projects for FY2021,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
25,Luzon,Cordillera Administrative Region,Kalinga,Lower Kalinga District Engineering Office,KALINGA (LONE DISTRICT),Kalinga-Cagayan Rd (Calanan-Enrile Section),Primary,S00566LZ,30855,52,2156,B00974LZ,Bulanao Br. 1,28,Concrete,permanent,Year Known,1973,Good,2,1,3.7,3.25,2,15.4,28,20,0,0,0.4,0.4,4,0.027397,River/Waterway (fresh water),Bulanao,Tabuk,"RM - Bridge Deck Sweep, Clean",Asphalt overlay to prevent new concrete widen bridge,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
26,Luzon,Cordillera Administrative Region,Apayao,Apayao 1st District Engineering Office,APAYAO (LONE DISTRICT),Abbut-Conner Rd,Secondary,S00614LZ,25523,222,14515,B02235LZ,Karikitan Br.,20,Concrete,permanent,Year Known,1990,Fair,2,0,9.24,0,1,8.85,15,15,0,0,0.47,0.47,2,0.081761,River/Waterway (fresh water),karikitan,conner,"RM - Bridge Deck Sweep, Clean",Minor repair on concrete structure.Main members were applied with carbon fiber sheet.Deckslab overlayed,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
27,Luzon,National Capital Region,Metro Manila,Metro Manila 2nd District Engineering Office,CITY OF MAKATI (SECOND DISTRICT),South Super H-way West Service Rd,Tertiary,S03382LZ,320,0,293,B01849LZ,Maricaban Br. (SB),27,Concrete,permanent,Year Known,1980,Good,2,2,0,2.1,3,19.85,20,0,0,0,0.45,7.6,3,0,River/Waterway (fresh water),Magallanes,Makati City,Routine Maintenance - Other,Cleaning/Sweeping and Re-Painting of Bridge Components,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
28,Luzon,Cordillera Administrative Region,Kalinga,Lower Kalinga District Engineering Office,KALINGA (LONE DISTRICT),Mt Province Bdry-Calanan-Pinukpuk-Abbut Rd (Calanan-Pinukpuk Sect),Secondary,S05934LZ,27669,222,18914,B02116LZ,Mapaco Br.,32,Steel,permanent,1945-1970,1973,Fair,2,0,5.8,0,1,9.4,13,15,0,0,0.7,0.7,2,0.056738,River/Waterway (fresh water),MAPACO,PINUKPUK,RM - Bridge Component Painting,Asphalt overlay bridge deck to prevent from spalling.,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
29,Luzon,Cordillera Administrative Region,Kalinga,Upper Kalinga District Engineering Office,KALINGA (LONE DISTRICT),Mt Province Bdry-Calanan-Pinukpuk-Abbut Rd,Secondary,S05932LZ,42284,204,0,B04496LZ,Mamaga Br.,12,Concrete,permanent,Year Known,2015,Good,2,0,2.22,0,1,7.7,43,0,0,0,0.8,0.8,2,0,River/Waterway (fresh water),BUGNAY,TINGLAYAN,"RM - Bridge Deck Sweep, Clean","Existing bridge is a two lane, two way and one span RCDG",GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
30,Luzon,Cordillera Administrative Region,Benguet,Benguet 1st District Engineering Office,BENGUET (LONE DISTRICT),Kennon Rd,Primary,S00393LZ,24656,54,12802,B02173LZ,Camp 3 Br. 2,103,Steel,permanent,1945-1970,1968,Good,2,4,30,23.7,5,8.3,21,10,0,0,0.5,0.5,2,0.026455,River/Waterway (fresh water),Camp 3,Tuba,Major Maint - Repair Damage,The bridge is in good condition in general but still needs routine and minimal major maintenance to maintain its present condition.,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
31,Luzon,National Capital Region,Metro Manila,North Manila District Engineering Office,MANILA CITY (SIXTH DISTRICT),JP Laurel St,Tertiary,S02535LZ,1336,0,466,B02273LZ,J. P. Laurel Br. 3,8,Concrete,permanent,Year Known,1935,Fair,2,0,0,0,1,13.96,25,15,0,0,2.35,2.15,2,0.069182,Canal,640 Zone 65,Manila,Major Maint - Repair Damage,Need sealing of cracks in deck slab sidewalk and repair of main member of span,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
32,Luzon,National Capital Region,Metro Manila,Metro Manila 1st District Engineering Office,PASIG CITY & CITY OF MANDALUYONG (LONE DISTRICTS),Shaw Blvd,Secondary,S03955LZ,5265,141,0,B05049LZ,Sevilla Br.,55,Concrete,permanent,Year Known,1991,Good,2,0,3.2,0,1,16.4,30,20,0,0,1.2,1.2,4,0,River/Waterway (fresh water),Daang Bakal,Mandaluyong City, ,Reconstructed Bridge Yr. 2020,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
33,Luzon,Cordillera Administrative Region,Ifugao,Ifugao 1st District Engineering Office,IFUGAO (LONE DISTRICT),Banaue-Hungduan-Benguet Bdry Rd,Tertiary,S00479LZ,8365,0,5782,B01709LZ,Wang Wang Br.,17,Concrete,permanent,Year Known,2007,Fair,2,0,8.7,0,1,8.9,28,15,0,0,0.75,0.75,2,0.122642,River/Waterway (fresh water),WANGWANG,TINOC,Major Maint-Protective Measure,Routine Maintenance of the bridge superstructure is necessary.,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
34,Luzon,Cordillera Administrative Region,Kalinga,Lower Kalinga District Engineering Office,KALINGA (LONE DISTRICT),Rizal Natl Rd (Liwan West-Babalag-Macutay Sect),Tertiary,S00571LZ,7475,0,657,B00902LZ,Anayup Br.,32,Steel,permanent,Year Known,1997,Fair,2,0,0,0,1,9.6,14,0,0,0,0.77,0.75,2,0.040816,River/Waterway (fresh water),Liwan West,Rizal,Major Maint - Repair Damage,Asphalt overlay to prevent further deterioration of deck and bridge painting of main member Steel components to prevent corrosion.,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
35,Luzon,Cordillera Administrative Region,Apayao,Apayao 2nd District Engineering Office,APAYAO (LONE DISTRICT),Kabugao-Pudtol-Luna-Cagayan Bdry Rd,Secondary,S00628LZ,38931,223,17140,B02261LZ,Nagsungbatan Br.,8,Concrete,permanent,Year Known,2000,Good,2,0,3.7,0,1,9.1,0,18,0,0,0.5,0.5,2,0,River/Waterway (fresh water),Maton,Pudtol,RM - Bridge Waterways Cleaning,"CLEAN UNDER AND SIDE OF BRIDGE,asphalt overlay",GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
36,Luzon,National Capital Region,Metro Manila,Metro Manila 2nd District Engineering Office,CITY OF MAKATI (SECOND DISTRICT),Edsa-Magallanes Flyover,Primary,S03486LZ,160,1,108,B04985LZ,Magallanes Flyover (Manila-Cubao),55,Concrete,permanent,Post 1970,1996,Fair,2,3,6.6,6.3,2,8.8,20,15,0,0,0.5,0.5,2,0.062678,Railway,Magallanes,Makati City,RM - Bridge Component Painting,"Regular Cleaning/Sweeping and Re-Painting of Bridge Components, Vibration occurs on Span 1, 2 and 5, Clogged Drainage on all Span",GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
37,Luzon,Cordillera Administrative Region,Kalinga,Lower Kalinga District Engineering Office,KALINGA (LONE DISTRICT),Mt Province Bdry-Calanan-Pinukpuk-Abbut Rd (Cagaluan-Calanan Sect),Secondary,S00602LZ,25563,222,0,B02217LZ,Pasil Br.,98,Steel,permanent,Year Known,2006,Fair,2,0,28.5,0,1,11.45,23,18,0,0,0.75,0.76,2,0.122449,River/Waterway (fresh water),Tomiangan,Tabuk,Routine Maintenance - Other,BIV to inspect main member and other component of bridge,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
38,Luzon,Cordillera Administrative Region,Kalinga,Upper Kalinga District Engineering Office,KALINGA (LONE DISTRICT),Kalinga-Abra Rd,Secondary,S00561LZ,63256,204,8707,B04380LZ,Limood Br.,13,Concrete,permanent,Year Known,2011,Good,2,0,8,0,1,8.87,41,0,0,0,0.76,0.8,2,0,River/Waterway (fresh water),Balenciagao Sur,Pasil,"RM - Bridge Deck Sweep, Clean",needs routine only,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
39,Luzon,Cordillera Administrative Region,Benguet,Baguio City District Engineering Office,BAGUIO CITY (LONE DISTRICT),Manuel Roxas Rd,Tertiary,S04688LZ,2857,0,31,B02316LZ,Manuel Roxas Br. 3,17,Concrete,permanent,Year Known,1968,Fair,2,4,4.8,4.8,5,9.75,10,5,0,0,0.88,0.86,2,0.10582,River/Waterway (fresh water),Trancoville,Baguio City,RM - Concrete Component Repair,"Repair of cracks on bridge deck sidewalks by epoxy injection, protective measures for Pier 2 and 3",GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
40,Luzon,National Capital Region,Metro Manila,Quezon City 1st District Engineering Office,QUEZON CITY (FIFTH DISTRICT),Fairview Ave,Secondary,S05456LZ,4506,170,2873,B02351LZ,Tullahan Br. 2 (SB),42,Concrete,permanent,Year Known,1983,Good,2,2,9.35,0,3,14.5,40,20,0,7.7,1.8,0,4,0.024793,River/Waterway (fresh water),BARANGAY NORTH FAIRVIEW,0,RM - Bridge Component Painting,On-going construction of MRT-7 near the bridge.,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
41,Luzon,Cordillera Administrative Region,Abra,Abra District Engineering Office,ABRA (LONE DISTRICT),Abra-Cervantes Rd,Tertiary,S00604LZ,9784,0,5734,B03370LZ,Palakiw Br.,35,Steel,permanent,Year Known,2002,Good,2,1,4.7,2.16,2,9.7,40,18,0,0,1.15,1.16,2,0.003831,River/Waterway (fresh water),Palakiw,Bucay,Routine Maintenance - Other,Condition is Good.,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
42,Luzon,National Capital Region,Metro Manila,Quezon City 1st District Engineering Office,QUEZON CITY (FIRST DISTRICT),Congressional Ave,Secondary,S05262LZ,3252,129,397,B02343LZ,Culiat Br. 2 (EB),320,Concrete,permanent,Year Known,1948,Fair,2,2,7.45,0,3,12.54,0,20,0,6.65,0,1.6,3,0.071625,River/Waterway (fresh water),BARANGAY RAMON MAGSAYSAY,QUEZON CITY,RM - Bridge Component Painting,Rusty girders. Informal settlers residing in between girders and under the bridge. The old abutment of the bridge may be removed.,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
43,Luzon,National Capital Region,Metro Manila,Metro Manila 1st District Engineering Office,CITY OF MANDALUYONG (LONE DISTRICT),EDSA-Shaw Flyover,Secondary,S03914LZ,657,141,100,B03312LZ,EDSA/Shaw Flyover,453,Concrete,permanent,Year Known,2000,Fair,2,8,8,8.8,9,14,30,20,0,7.99,0.5,0.5,2,0.225514,Road,Nangka,Mandaluyong City,RM - Bridge Component Painting,"needs painting, epoxy injection at cracks",GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
44,Luzon,Cordillera Administrative Region,Ifugao,Ifugao 2nd District Engineering Office,IFUGAO (LONE DISTRICT),Banaue-Mayoyao-A Lista-Isabela Bdry Rd,Secondary,S00480LZ,90970,224,21283,B02208LZ,Habbang Br.,57,Steel,permanent,Year Known,2005,Good,2,1,13.5,8.1,2,9.69,35,0,0,0,0.76,0.76,2,0,River/Waterway (fresh water),Adoyongan,Mayoyao,"RM - Bridge Deck Sweep, Clean",Asphalt Overlay was completed.,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
45,Luzon,Cordillera Administrative Region,Mt.Province,Mountain Province 2nd District Engineering Office,MOUNTAIN PROVINCE (LONE DISTRICT),Mt. Province-Ifugao Rd (Kiling-Paracelis Sect),Tertiary,S00596LZ,22320,0,2098,B04298LZ,Killing Br.,11,Concrete,permanent,Year Known,2012,Good,2,0,4.65,0,1,9.6,44,0,0,4.65,1.12,1.12,2,0.04717,Not Specified,Kiling,Paracelis,RM - Concrete Component Repair,The deck slab should be mentained and scour protection.,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
46,Luzon,Cordillera Administrative Region,Apayao,Apayao 2nd District Engineering Office,APAYAO (LONE DISTRICT),Claveria-Calanasan-Kabugao Rd,Tertiary,S00630LZ,87460,0,32462,B01052LZ,San Lorenzo Br.,19,Concrete,permanent,Year Known,2001,Fair,2,0,9.72,0,1,9.44,0,18,0,0,0.75,0.75,2,0.138365,River/Waterway (fresh water),Eva,Calanasan,Major Maintenance - Other,on going bridge retrofitting FY2021 GAA FUNDED,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
47,Luzon,National Capital Region,Metro Manila,North Manila District Engineering Office,MANILA CITY (THIRD DISTRICT),Reina Regente,Tertiary,S02300LZ,600,0,88,B01788LZ,Reina Regente Br.,24,Concrete,permanent,Year Known,1995,Fair,2,0,0,0,1,15.54,25,15,0,0,1.07,1.06,4,0.075472,Canal,292 Zone 28,Manila,Major Maint - Repair Damage,Cracks in girders and sidewalk,GISADMIN,2022-03-10 10:34:35,GISADMIN,2022-03-10 10:34:35
